bulk_id,dE_CO,dE_H,dE_CHO,dE_COOH
mp-30,0.164,0.643,0.934,1.019
mp-81,,1.045,0.832,1.28
mp-124,0.498,1.112,1.26,1.813
mp-79,0.997,1.23,1.712,1.277
mp-117,,-0.151,-2.063,-2.44
mp-85,,1.563,1.928,1.903
mp-23152,0.528,1.366,1.103,1.858
mp-20483,,1.556,1.225,1.614
mp-126,-0.734,0.414,0.12,1.296
mp-2,-0.954,0.828,,
mp-23,-1.074,0.274,-0.229,0.246
mp-13,-0.877,0.797,-0.306,-0.052
mp-54,-1.091,0.285,1.004,
mp-1184018,0.031,1.339,0.857,1.089
mp-1184011,-0.066,0.857,1.715,1.275
mp-1215401,0.055,0.838,,0.704
mp-10598,0.42,1.376,1.45,
mp-1018029,0.43,0.694,0.189,0.728
mp-12086,-0.593,0.482,0.034,1.962
mp-21985,-0.017,0.615,,
mp-1183995,,0.913,,1.901
mp-1008555,,0.809,,1.956
