bulk_id,dE_CO,dE_H,dE_CHO,dE_COOH
mp-30,0.133,0.627,,1.007
mp-81,,0.987,0.863,1.28
mp-124,0.545,1.111,1.182,1.773
mp-79,0.579,1.198,1.722,1.278
mp-117,,,-2.056,-2.553
mp-85,,1.496,1.262,1.967
mp-23152,0.413,1.797,1.133,1.357
mp-20483,,1.781,1.16,1.788
mp-126,-0.714,0.461,,1.113
mp-2,-0.82,0.818,,2.074
mp-23,-1.065,0.28,-0.201,0.272
mp-13,-1.487,0.549,-0.336,-0.74
mp-54,-1.034,0.283,,
mp-1184018,0.289,1.049,,1.247
mp-1184011,-0.063,1.092,,1.586
mp-1215401,0.05,1.131,,0.681
mp-10598,0.372,1.089,1.526,1.965
mp-1018029,0.411,0.693,0.213,0.463
mp-12086,-0.61,1.027,0.068,0.882
mp-21985,0.146,0.675,,0.509
mp-1183995,,0.65,,1.844
mp-1008555,,0.818,1.123,1.174
