bulk_id,formula,dE_NO3,anom_NO3,dE_NO2,anom_NO2,dE_NO,anom_NO,dE_N,anom_N,dE_NH,anom_NH,dE_NH3,anom_NH3
mp-30,Cu,6.025,False,4.489,False,3.547,False,2.966,False,0.541,False,-0.135,True
mp-23,Ni,5.775,False,1.868,True,1.75,False,-0.18,False,0.423,False,-0.79,False
mp-54,Co,5.385,False,1.046,True,1.409,False,1.77,False,-0.195,False,-0.152,True
mp-2,Pd,6.388,False,4.377,False,2.709,False,2.099,False,1.338,False,-0.539,False
mp-74,Rh,6.56,False,3.895,False,1.914,False,2.207,False,-0.247,False,-0.654,False
mp-126,Pt,7.046,False,4.416,False,2.909,False,1.577,False,0.984,False,-0.148,True
no3rr-Cu3Ni,Cu3Ni,5.933,False,3.815,False,2.396,False,0.263,False,-0.17,False,-0.168,True
no3rr-Cu3Co,CoCu3,5.352,False,1.766,True,1.495,False,1.657,False,-0.792,False,-0.367,False
no3rr-Cu3Fe,Cu3Fe,1.992,True,0.656,True,0.916,False,0.875,False,-0.029,False,-0.139,True
no3rr-Cu3Pd,Cu3Pd,6.338,False,4.693,False,3.21,False,1.791,False,1.895,False,-0.145,True
no3rr-Cu3Rh,Cu3Rh,6.245,False,3.905,False,2.396,False,0.167,False,0.026,False,-0.637,False
no3rr-Cu3Pt,Cu3Pt,6.773,False,4.569,False,3.051,False,1.696,False,1.6,False,-0.167,True
no3rr-Cu3Zn,Cu3Zn,6.106,False,4.536,False,3.701,False,3.127,False,0.702,False,-0.42,False
no3rr-Cu3Sn,Cu3Sn,6.516,False,4.86,False,4.069,False,3.015,False,1.698,False,-0.193,True
no3rr-Cu3Ag,AgCu3,6.156,False,4.501,False,3.595,False,3.676,False,1.805,False,-0.138,True
no3rr-Ni3Cu,CuNi3,6.323,False,3.935,False,2.71,False,0.472,False,1.108,False,-0.145,True
no3rr-Co3Cu,Co3Cu,5.875,False,3.236,True,2.219,False,1.366,False,0.625,False,-0.028,True
no3rr-Pd3Cu,CuPd3,6.219,False,4.239,False,3.306,False,1.629,False,0.944,False,-0.283,False
no3rr-Ni3Fe,FeNi3,1.169,True,3.344,False,1.25,False,-1.114,False,-1.012,False,-0.928,False
no3rr-Ni3Co,CoNi3,5.85,False,3.498,False,1.592,False,1.775,False,-0.94,False,-0.897,False
no3rr-Co3Pd,Co3Pd,6.106,False,4.196,False,1.863,False,0.796,False,0.673,False,-0.533,False
