bulk_id,dE_OH,dE_O,dE_OOH
mp-126,1.816,2.362,4.691
mp-2,1.725,2.121,4.623
mp-101,1.478,1.696,4.256
mp-33,0.384,0.322,0.284
mp-74,1.143,1.286,4.803
mp-81,2.215,3.391,5.536
mp-124,1.527,2.953,4.848
mp-30,1.047,1.783,2.735
mp-23,0.92,0.913,1.338
mp-54,0.109,0.539,1.005
mp-13,0.241,0.66,-0.043
mp-35,-0.069,-0.106,-0.793
mp-72,-0.705,-1.562,-3.822
mp-90,-0.13,-0.279,-0.753
mp-49,-0.012,0.035,2.779
mp-8,-0.387,-0.162,-0.728
mp-91,-0.198,-0.22,-1.151
mp-146,-0.178,-1.435,-2.496
mp-129,-0.113,0.238,-1.149
mp-75,-0.278,-0.942,-1.996
mp-50,-0.593,-0.061,-2.448
