bulk_id,dE_OH,dE_O,dE_OOH
mp-126,1.778,2.111,4.948
mp-2,1.713,3.364,4.619
mp-101,1.344,1.552,2.886
mp-33,0.331,0.669,3.404
mp-74,1.324,1.328,4.114
mp-81,2.322,3.283,5.594
mp-124,1.924,2.863,4.788
mp-30,1.133,1.782,4.794
mp-23,1.283,0.894,3.816
mp-54,0.337,0.549,1.719
mp-13,0.146,-0.021,-0.998
mp-35,-0.075,-0.246,-1.475
mp-72,-0.734,-2.556,-4.364
mp-90,-0.181,0.3,-1.5
mp-49,0.013,0.495,-0.427
mp-8,-0.392,-0.161,2.668
mp-91,-0.234,-0.006,2.738
mp-146,-0.591,-0.948,-2.196
mp-129,0.13,0.259,-0.552
mp-75,-0.232,0.209,1.79
mp-50,-0.777,-1.266,-2.67
